date,co2,relative_temp
1990-01-06,353.8,0.41
1990-02-06,355.04,0.41
1990-03-06,355.73,0.76
1990-04-06,356.32,0.55
1990-05-06,357.32,0.46
1990-06-06,356.34,0.38
1990-07-06,354.84,0.44
1990-08-06,353.01,0.3
1990-09-06,351.31,0.3
1990-10-06,351.62,0.43
1990-11-06,353.07,0.46
1990-12-06,354.33,0.42
1991-01-06,354.84,0.42
1991-02-06,355.73,0.51
1991-03-06,357.23,0.36
1991-04-06,358.66,0.53
1991-05-06,359.13,0.39
1991-06-06,358.13,0.54
1991-07-06,356.19,0.51
1991-08-06,353.85,0.42
1991-09-06,352.25,0.5
1991-10-06,352.35,0.32
1991-11-06,353.81,0.31
1991-12-06,355.12,0.33
1992-01-06,356.25,0.45
1992-02-06,357.11,0.42
1992-03-06,357.86,0.47
1992-04-06,359.09,0.24
1992-05-06,359.59,0.32
1992-06-06,359.33,0.24
1992-07-06,357.01,0.13
1992-08-06,354.94,0.1
1992-09-06,352.96,0.01
1992-10-06,353.32,0.11
1992-11-06,354.32,0.04
1992-12-06,355.57,0.22
1993-01-06,357.0,0.37
1993-02-06,357.31,0.39
1993-03-06,358.47,0.36
1993-04-06,359.27,0.28
1993-05-06,360.19,0.26
1993-06-06,359.52,0.24
1993-07-06,357.33,0.28
1993-08-06,355.64,0.13
1993-09-06,354.03,0.11
1993-10-06,354.12,0.24
1993-11-06,355.41,0.07
1993-12-06,356.91,0.19
1994-01-06,358.24,0.3
1994-02-06,358.92,0.04
1994-03-06,359.99,0.26
1994-04-06,361.23,0.41
1994-05-06,361.65,0.29
1994-06-06,360.81,0.42
1994-07-06,359.38,0.32
1994-08-06,357.46,0.23
1994-09-06,355.73,0.32
1994-10-06,356.07,0.42
1994-11-06,357.53,0.46
1994-12-06,358.98,0.36
1995-01-06,359.92,0.5
1995-02-06,360.86,0.77
1995-03-06,361.83,0.45
1995-04-06,363.3,0.47
1995-05-06,363.69,0.29
1995-06-06,363.19,0.45
1995-07-06,361.64,0.49
1995-08-06,359.12,0.48
1995-09-06,358.17,0.34
1995-10-06,357.99,0.49
1995-11-06,359.45,0.45
1995-12-06,360.68,0.3
1996-01-06,362.07,0.27
1996-02-06,363.24,0.5
1996-03-06,364.17,0.34
1996-04-06,364.57,0.38
1996-05-06,365.13,0.3
1996-06-06,364.92,0.27
1996-07-06,363.55,0.37
1996-08-06,361.38,0.49
1996-09-06,359.54,0.27
1996-10-06,359.58,0.2
1996-11-06,360.89,0.42
1996-12-06,362.24,0.41
1997-01-06,363.09,0.33
1997-02-06,364.03,0.37
1997-03-06,364.51,0.52
1997-04-06,366.35,0.38
1997-05-06,366.64,0.39
1997-06-06,365.59,0.55
1997-07-06,364.31,0.35
